co2_val,obs_i,obs_date
320.56,107,1967-11-01
321.8,108,1967-12-01
322.4,109,1968-01-01
322.99,110,1968-02-01
323.73,111,1968-03-01
324.86,112,1968-04-01
325.4,113,1968-05-01
325.2,114,1968-06-01
323.98,115,1968-07-01
321.95,116,1968-08-01
320.18,117,1968-09-01
320.09,118,1968-10-01
321.16,119,1968-11-01
322.74,120,1968-12-01
323.83,121,1969-01-01
324.26,122,1969-02-01
325.47,123,1969-03-01
326.5,124,1969-04-01
327.21,125,1969-05-01
326.54,126,1969-06-01
325.72,127,1969-07-01
323.5,128,1969-08-01
322.22,129,1969-09-01
321.62,130,1969-10-01
322.69,131,1969-11-01
323.95,132,1969-12-01
324.89,133,1970-01-01
325.82,134,1970-02-01
326.77,135,1970-03-01
327.97,136,1970-04-01
327.91,137,1970-05-01
327.5,138,1970-06-01
326.18,139,1970-07-01
324.53,140,1970-08-01
322.93,141,1970-09-01
322.9,142,1970-10-01
323.85,143,1970-11-01
324.96,144,1970-12-01
326.01,145,1971-01-01
326.51,146,1971-02-01
327.01,147,1971-03-01
327.62,148,1971-04-01
328.76,149,1971-05-01
328.4,150,1971-06-01
327.2,151,1971-07-01
325.27,152,1971-08-01
323.2,153,1971-09-01
323.4,154,1971-10-01
324.63,155,1971-11-01
325.85,156,1971-12-01
326.6,157,1972-01-01
327.47,158,1972-02-01
327.58,159,1972-03-01
329.56,160,1972-04-01
329.9,161,1972-05-01
328.92,162,1972-06-01
327.88,163,1972-07-01
326.16,164,1972-08-01
324.68,165,1972-09-01
325.04,166,1972-10-01
326.34,167,1972-11-01
327.39,168,1972-12-01
328.37,169,1973-01-01
329.4,170,1973-02-01
330.14,171,1973-03-01
331.33,172,1973-04-01
332.31,173,1973-05-01
331.9,174,1973-06-01
330.7,175,1973-07-01
329.15,176,1973-08-01
327.35,177,1973-09-01
327.02,178,1973-10-01
327.99,179,1973-11-01
328.48,180,1973-12-01
329.18,181,1974-01-01
330.55,182,1974-02-01
331.32,183,1974-03-01
332.48,184,1974-04-01
332.92,185,1974-05-01
332.08,186,1974-06-01
331.01,187,1974-07-01
329.23,188,1974-08-01
327.27,189,1974-09-01
327.21,190,1974-10-01
328.29,191,1974-11-01
329.41,192,1974-12-01
330.23,193,1975-01-01
331.25,194,1975-02-01
331.87,195,1975-03-01
333.14,196,1975-04-01
333.8,197,1975-05-01
333.43,198,1975-06-01
331.73,199,1975-07-01
329.9,200,1975-08-01
328.4,201,1975-09-01
328.17,202,1975-10-01
329.32,203,1975-11-01
330.59,204,1975-12-01
331.58,205,1976-01-01
332.39,206,1976-02-01
333.33,207,1976-03-01
334.41,208,1976-04-01
334.71,209,1976-05-01
334.17,210,1976-06-01
332.89,211,1976-07-01
330.77,212,1976-08-01
329.14,213,1976-09-01
328.78,214,1976-10-01
330.14,215,1976-11-01
331.52,216,1976-12-01
332.75,217,1977-01-01
333.24,218,1977-02-01
334.53,219,1977-03-01
335.9,220,1977-04-01
336.57,221,1977-05-01
336.1,222,1977-06-01
334.76,223,1977-07-01
332.59,224,1977-08-01
331.42,225,1977-09-01
330.98,226,1977-10-01
332.24,227,1977-11-01
333.68,228,1977-12-01
334.8,229,1978-01-01
335.22,230,1978-02-01
336.47,231,1978-03-01
337.59,232,1978-04-01
337.84,233,1978-05-01
337.72,234,1978-06-01
336.37,235,1978-07-01
334.51,236,1978-08-01
332.6,237,1978-09-01
332.38,238,1978-10-01
333.75,239,1978-11-01
334.78,240,1978-12-01
336.05,241,1979-01-01
336.59,242,1979-02-01
337.79,243,1979-03-01
338.71,244,1979-04-01
339.3,245,1979-05-01
339.12,246,1979-06-01
337.56,247,1979-07-01
335.92,248,1979-08-01
333.75,249,1979-09-01
333.7,250,1979-10-01
335.12,251,1979-11-01
336.56,252,1979-12-01
337.84,253,1980-01-01
338.19,254,1980-02-01
339.91,255,1980-03-01
340.6,256,1980-04-01
341.29,257,1980-05-01
341,258,1980-06-01
339.39,259,1980-07-01
337.43,260,1980-08-01
335.72,261,1980-09-01
335.84,262,1980-10-01
336.93,263,1980-11-01
338.04,264,1980-12-01
339.06,265,1981-01-01
340.3,266,1981-02-01
341.21,267,1981-03-01
342.33,268,1981-04-01
342.74,269,1981-05-01
342.08,270,1981-06-01
340.32,271,1981-07-01
338.26,272,1981-08-01
336.52,273,1981-09-01
336.68,274,1981-10-01
338.19,275,1981-11-01
339.44,276,1981-12-01
340.57,277,1982-01-01
341.44,278,1982-02-01
342.53,279,1982-03-01
343.39,280,1982-04-01
343.96,281,1982-05-01
343.18,282,1982-06-01
341.88,283,1982-07-01
339.65,284,1982-08-01
337.81,285,1982-09-01
337.69,286,1982-10-01
339.09,287,1982-11-01
340.32,288,1982-12-01
341.2,289,1983-01-01
342.35,290,1983-02-01
342.93,291,1983-03-01
344.77,292,1983-04-01
345.58,293,1983-05-01
345.14,294,1983-06-01
343.81,295,1983-07-01
342.21,296,1983-08-01
339.69,297,1983-09-01
339.82,298,1983-10-01
340.98,299,1983-11-01
342.82,300,1983-12-01
343.52,301,1984-01-01
344.33,302,1984-02-01
345.11,303,1984-03-01
346.88,304,1984-04-01
347.25,305,1984-05-01
346.62,306,1984-06-01
345.22,307,1984-07-01
343.11,308,1984-08-01
340.9,309,1984-09-01
341.18,310,1984-10-01
342.8,311,1984-11-01
344.04,312,1984-12-01
344.79,313,1985-01-01
345.82,314,1985-02-01
347.25,315,1985-03-01
348.17,316,1985-04-01
348.74,317,1985-05-01
348.07,318,1985-06-01
346.38,319,1985-07-01
344.51,320,1985-08-01
342.92,321,1985-09-01
342.62,322,1985-10-01
344.06,323,1985-11-01
345.38,324,1985-12-01
346.11,325,1986-01-01
346.78,326,1986-02-01
347.68,327,1986-03-01
349.37,328,1986-04-01
350.03,329,1986-05-01
349.37,330,1986-06-01
347.76,331,1986-07-01
345.73,332,1986-08-01
344.68,333,1986-09-01
343.99,334,1986-10-01
345.48,335,1986-11-01
346.72,336,1986-12-01
347.84,337,1987-01-01
348.29,338,1987-02-01
349.23,339,1987-03-01
350.8,340,1987-04-01
351.66,341,1987-05-01
351.07,342,1987-06-01
349.33,343,1987-07-01
347.92,344,1987-08-01
346.27,345,1987-09-01
346.18,346,1987-10-01
347.64,347,1987-11-01
348.78,348,1987-12-01
350.25,349,1988-01-01
351.54,350,1988-02-01
352.05,351,1988-03-01
353.41,352,1988-04-01
354.04,353,1988-05-01
353.62,354,1988-06-01
352.22,355,1988-07-01
350.27,356,1988-08-01
348.55,357,1988-09-01
348.72,358,1988-10-01
349.91,359,1988-11-01
351.18,360,1988-12-01
352.6,361,1989-01-01
352.92,362,1989-02-01
353.53,363,1989-03-01
355.26,364,1989-04-01
355.52,365,1989-05-01
354.97,366,1989-06-01
353.75,367,1989-07-01
351.52,368,1989-08-01
349.64,369,1989-09-01
349.83,370,1989-10-01
351.14,371,1989-11-01
352.37,372,1989-12-01
353.5,373,1990-01-01
354.55,374,1990-02-01
355.23,375,1990-03-01
356.04,376,1990-04-01
357,377,1990-05-01
356.07,378,1990-06-01
354.67,379,1990-07-01
352.76,380,1990-08-01
350.82,381,1990-09-01
351.04,382,1990-10-01
352.69,383,1990-11-01
354.07,384,1990-12-01
354.59,385,1991-01-01
355.63,386,1991-02-01
357.03,387,1991-03-01
358.48,388,1991-04-01
359.22,389,1991-05-01
358.12,390,1991-06-01
356.06,391,1991-07-01
353.92,392,1991-08-01
352.05,393,1991-09-01
352.11,394,1991-10-01
353.64,395,1991-11-01
354.89,396,1991-12-01
355.88,397,1992-01-01
356.63,398,1992-02-01
357.72,399,1992-03-01
359.07,400,1992-04-01
359.58,401,1992-05-01
359.17,402,1992-06-01
356.94,403,1992-07-01
354.92,404,1992-08-01
352.94,405,1992-09-01
353.23,406,1992-10-01
354.09,407,1992-11-01
355.33,408,1992-12-01
356.63,409,1993-01-01
357.1,410,1993-02-01
358.32,411,1993-03-01
359.41,412,1993-04-01
360.23,413,1993-05-01
359.55,414,1993-06-01
357.53,415,1993-07-01
355.48,416,1993-08-01
353.67,417,1993-09-01
353.95,418,1993-10-01
355.3,419,1993-11-01
356.78,420,1993-12-01
358.34,421,1994-01-01
358.89,422,1994-02-01
359.95,423,1994-03-01
361.25,424,1994-04-01
361.67,425,1994-05-01
360.94,426,1994-06-01
359.55,427,1994-07-01
357.49,428,1994-08-01
355.84,429,1994-09-01
356,430,1994-10-01
357.59,431,1994-11-01
359.05,432,1994-12-01
359.98,433,1995-01-01
361.03,434,1995-02-01
361.66,435,1995-03-01
363.48,436,1995-04-01
363.82,437,1995-05-01
363.3,438,1995-06-01
361.94,439,1995-07-01
359.5,440,1995-08-01
358.11,441,1995-09-01
357.8,442,1995-10-01
359.61,443,1995-11-01
360.74,444,1995-12-01
362.09,445,1996-01-01
363.29,446,1996-02-01
364.06,447,1996-03-01
364.76,448,1996-04-01
365.45,449,1996-05-01
365.01,450,1996-06-01
363.7,451,1996-07-01
361.54,452,1996-08-01
359.51,453,1996-09-01
359.65,454,1996-10-01
360.8,455,1996-11-01
362.38,456,1996-12-01
363.23,457,1997-01-01
364.06,458,1997-02-01
364.61,459,1997-03-01
366.4,460,1997-04-01
366.84,461,1997-05-01
365.68,462,1997-06-01
364.52,463,1997-07-01
362.57,464,1997-08-01
360.24,465,1997-09-01
360.83,466,1997-10-01
362.49,467,1997-11-01
364.34,468,1997-12-01
